"Booking_ID","no_of_adults","no_of_children","no_of_weekend_nights","no_of_week_nights","type_of_meal_plan","required_car_parking_space","room_type_reserved","lead_time","arrival_year","arrival_month","arrival_date","market_segment_type","repeated_guest","no_of_previous_cancellations","no_of_previous_bookings_not_canceled","avg_price_per_room","no_of_special_requests","booking_status"
"INN00065",2,0,2,1,"Meal Plan 1",FALSE,"Room_Type 1",86,"2018",12,18,"Offline",FALSE,0,0,75,0,TRUE
"INN00066",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 4",30,"2018",10,5,"Online",FALSE,0,0,157.5,2,TRUE
"INN00067",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 4",179,"2018",6,3,"Online",FALSE,0,0,97.7,1,TRUE
"INN00068",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 4",26,"2018",4,15,"Online",FALSE,0,0,142,0,FALSE
"INN00069",2,0,0,1,"Meal Plan 1",FALSE,"Room_Type 1",55,"2018",4,6,"Offline",FALSE,0,0,80,0,TRUE
"INN00070",2,0,1,2,"Meal Plan 1",FALSE,"Room_Type 1",74,"2018",4,25,"Online",FALSE,0,0,85.5,1,TRUE
"INN00071",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 1",143,"2018",8,25,"Offline",FALSE,0,0,100,0,TRUE
"INN00072",2,0,1,0,"Not Selected",FALSE,"Room_Type 1",34,"2018",11,14,"Online",FALSE,0,0,88,2,TRUE
"INN00073",2,0,1,1,"Meal Plan 1",TRUE,"Room_Type 1",30,"2018",8,29,"Online",FALSE,0,0,122.85,1,TRUE
"INN00074",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",177,"2018",6,3,"Online",FALSE,0,0,100,0,FALSE
"INN00075",2,0,2,3,"Meal Plan 1",FALSE,"Room_Type 4",34,"2017",10,25,"Offline",FALSE,0,0,75,0,TRUE
"INN00076",2,0,1,4,"Meal Plan 1",FALSE,"Room_Type 4",18,"2018",3,9,"Online",FALSE,0,0,116.8,1,TRUE
"INN00077",3,0,1,1,"Meal Plan 1",FALSE,"Room_Type 4",267,"2018",12,31,"Online",FALSE,0,0,121.5,0,TRUE
"INN00078",2,0,1,2,"Meal Plan 1",FALSE,"Room_Type 1",64,"2018",6,27,"Online",FALSE,0,0,111.9,1,TRUE
"INN00079",3,0,2,5,"Meal Plan 1",FALSE,"Room_Type 4",155,"2018",6,28,"Online",FALSE,0,0,90,2,FALSE
"INN00080",2,0,0,5,"Meal Plan 1",FALSE,"Room_Type 1",46,"2018",3,29,"Offline",FALSE,0,0,75,1,TRUE
"INN00081",2,2,0,2,"Meal Plan 1",FALSE,"Room_Type 6",83,"2018",4,1,"Online",FALSE,0,0,159.3,0,FALSE
"INN00082",2,0,0,5,"Meal Plan 1",FALSE,"Room_Type 4",128,"2018",10,11,"Online",FALSE,0,0,132.3,0,FALSE
"INN00083",2,0,2,0,"Not Selected",FALSE,"Room_Type 1",20,"2018",12,25,"Online",FALSE,0,0,88,2,TRUE
"INN00084",2,0,1,4,"Meal Plan 1",FALSE,"Room_Type 4",40,"2018",3,14,"Online",FALSE,0,0,98.82,0,TRUE
"INN00085",2,0,1,2,"Meal Plan 1",TRUE,"Room_Type 4",46,"2018",3,4,"Online",FALSE,0,0,98.3,1,TRUE
"INN00086",1,0,1,0,"Meal Plan 1",FALSE,"Room_Type 1",1,"2018",10,17,"Online",FALSE,0,0,150,2,TRUE
"INN00087",2,0,2,3,"Not Selected",FALSE,"Room_Type 1",196,"2018",9,4,"Online",FALSE,0,0,96.05,1,TRUE
"INN00088",1,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",188,"2018",6,15,"Online",FALSE,0,0,130,0,FALSE
"INN00089",2,0,0,1,"Not Selected",FALSE,"Room_Type 1",17,"2018",12,10,"Online",TRUE,0,5,95,0,TRUE
"INN00090",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 5",146,"2018",8,9,"Offline",FALSE,0,0,113.56,0,TRUE
"INN00091",2,0,1,3,"Not Selected",FALSE,"Room_Type 1",110,"2018",5,5,"Online",FALSE,0,0,101.58,1,TRUE
"INN00092",2,0,1,2,"Meal Plan 1",TRUE,"Room_Type 1",68,"2018",3,18,"Online",FALSE,0,0,105.3,0,TRUE
"INN00093",2,0,2,1,"Meal Plan 1",FALSE,"Room_Type 4",73,"2018",4,9,"Online",FALSE,0,0,115.8,1,TRUE
"INN00094",2,0,0,1,"Meal Plan 1",FALSE,"Room_Type 4",92,"2018",5,19,"Online",FALSE,0,0,149.4,1,TRUE
"INN00095",2,0,2,5,"Meal Plan 1",FALSE,"Room_Type 1",171,"2018",8,30,"Online",FALSE,0,0,111.59,0,FALSE
"INN00096",2,1,0,2,"Meal Plan 1",TRUE,"Room_Type 1",134,"2018",8,4,"Online",FALSE,0,0,130.5,2,TRUE
"INN00097",2,0,0,2,"Meal Plan 2",FALSE,"Room_Type 1",320,"2018",8,18,"Online",FALSE,0,0,115,1,FALSE
"INN00098",2,0,0,4,"Meal Plan 1",FALSE,"Room_Type 1",118,"2018",4,13,"Online",FALSE,0,0,90.95,1,TRUE
"INN00099",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 1",30,"2018",11,17,"Online",FALSE,0,0,76.08,1,TRUE
"INN00100",2,2,1,3,"Meal Plan 1",FALSE,"Room_Type 6",30,"2018",12,22,"Online",FALSE,0,0,156.9,0,TRUE
"INN00101",2,0,1,0,"Not Selected",FALSE,"Room_Type 1",189,"2018",10,23,"Online",FALSE,0,0,85.5,2,TRUE
"INN00102",3,0,1,2,"Meal Plan 1",FALSE,"Room_Type 4",55,"2018",5,13,"Online",FALSE,0,0,159.3,2,TRUE
"INN00103",1,0,0,4,"Meal Plan 1",FALSE,"Room_Type 1",55,"2018",12,13,"Online",FALSE,0,0,74.8,2,TRUE
"INN00104",2,0,0,1,"Meal Plan 1",FALSE,"Room_Type 1",16,"2017",10,31,"Online",FALSE,0,0,95,1,TRUE
"INN00105",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 1",24,"2017",10,8,"Online",FALSE,0,0,107,1,TRUE
"INN00106",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 1",8,"2018",2,16,"Offline",FALSE,0,0,64,0,TRUE
"INN00107",2,0,1,4,"Meal Plan 1",TRUE,"Room_Type 1",10,"2017",11,2,"Online",FALSE,0,0,82.95,0,TRUE
"INN00108",2,0,1,3,"Meal Plan 1",FALSE,"Room_Type 4",0,"2017",9,21,"Online",FALSE,0,0,155,1,TRUE
"INN00109",2,0,0,1,"Not Selected",FALSE,"Room_Type 1",12,"2018",6,30,"Online",FALSE,0,0,101.68,1,TRUE
"INN00110",2,0,2,1,"Meal Plan 1",FALSE,"Room_Type 1",32,"2017",9,5,"Online",FALSE,0,0,94.5,3,TRUE
"INN00111",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",182,"2018",9,30,"Online",FALSE,0,0,117.9,2,FALSE
"INN00112",2,0,1,0,"Not Selected",FALSE,"Room_Type 1",1,"2018",6,27,"Online",FALSE,0,0,127,1,TRUE
"INN00113",2,0,0,3,"Not Selected",FALSE,"Room_Type 1",122,"2018",6,16,"Online",FALSE,0,0,116.1,2,TRUE
"INN00114",2,0,2,3,"Meal Plan 1",FALSE,"Room_Type 1",40,"2018",6,30,"Online",FALSE,0,0,117.9,1,TRUE
"INN00115",2,2,2,2,"Meal Plan 1",FALSE,"Room_Type 2",116,"2018",6,26,"Online",FALSE,0,0,184.24,1,FALSE
"INN00116",3,0,2,2,"Meal Plan 1",TRUE,"Room_Type 4",123,"2018",8,13,"Online",FALSE,0,0,155.7,1,TRUE
"INN00117",3,0,2,5,"Meal Plan 1",FALSE,"Room_Type 4",40,"2018",4,22,"Online",FALSE,0,0,135.76,0,FALSE
"INN00118",2,1,2,5,"Meal Plan 1",FALSE,"Room_Type 1",105,"2018",11,12,"Online",FALSE,0,0,102.83,3,TRUE
"INN00119",2,0,0,1,"Meal Plan 1",FALSE,"Room_Type 1",443,"2018",4,29,"Online",FALSE,0,0,65,0,FALSE
"INN00120",2,0,2,3,"Meal Plan 1",FALSE,"Room_Type 1",2,"2017",11,14,"Online",FALSE,0,0,103,1,TRUE
"INN00121",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 1",317,"2018",9,1,"Online",FALSE,0,0,106.2,1,FALSE
"INN00122",2,0,0,2,"Meal Plan 2",FALSE,"Room_Type 1",286,"2018",9,16,"Offline",FALSE,0,0,58.5,0,TRUE
"INN00123",2,0,1,3,"Meal Plan 1",FALSE,"Room_Type 1",68,"2018",3,10,"Online",FALSE,0,0,73.95,0,FALSE
"INN00124",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 1",148,"2018",5,5,"Online",FALSE,0,0,105.3,0,TRUE
"INN00125",3,0,2,0,"Meal Plan 1",FALSE,"Room_Type 4",68,"2018",4,24,"Online",FALSE,0,0,133.2,2,TRUE
"INN00126",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",30,"2018",3,30,"Offline",FALSE,0,0,85.5,0,TRUE
"INN00127",1,0,0,1,"Meal Plan 1",FALSE,"Room_Type 1",14,"2018",11,3,"Online",FALSE,0,0,112,1,FALSE
"INN00128",2,2,0,2,"Meal Plan 1",FALSE,"Room_Type 6",110,"2018",10,14,"Online",FALSE,0,0,190.8,0,FALSE
"INN00129",1,0,2,3,"Meal Plan 1",FALSE,"Room_Type 1",117,"2018",6,5,"Offline",FALSE,0,0,110,0,TRUE
"INN00130",2,0,1,4,"Meal Plan 1",FALSE,"Room_Type 4",85,"2018",7,13,"Online",FALSE,0,0,91.48,1,TRUE
"INN00131",2,0,0,2,"Not Selected",FALSE,"Room_Type 1",1,"2018",10,20,"Online",FALSE,0,0,135,2,TRUE
"INN00132",1,0,1,2,"Meal Plan 1",FALSE,"Room_Type 1",25,"2018",10,17,"Online",FALSE,0,0,129,2,TRUE
"INN00133",2,0,2,4,"Not Selected",FALSE,"Room_Type 1",289,"2018",12,28,"Online",FALSE,0,0,70.55,2,FALSE
"INN00134",2,0,1,4,"Meal Plan 1",FALSE,"Room_Type 4",28,"2017",9,19,"Offline",FALSE,0,0,75,0,TRUE
"INN00135",1,0,0,4,"Not Selected",FALSE,"Room_Type 1",80,"2018",3,29,"Online",FALSE,0,0,72.25,0,TRUE
"INN00136",2,0,0,1,"Meal Plan 1",FALSE,"Room_Type 4",11,"2017",10,9,"Online",FALSE,0,0,155,2,TRUE
"INN00137",2,1,1,0,"Meal Plan 1",FALSE,"Room_Type 1",162,"2018",7,25,"Online",FALSE,0,0,121.5,2,FALSE
"INN00138",2,0,2,5,"Meal Plan 1",FALSE,"Room_Type 1",155,"2018",6,28,"Online",FALSE,0,0,90.95,2,TRUE
"INN00139",1,0,2,2,"Meal Plan 1",FALSE,"Room_Type 1",82,"2018",5,22,"Online",FALSE,0,0,109.65,0,TRUE
"INN00140",3,0,2,4,"Meal Plan 1",FALSE,"Room_Type 4",27,"2018",4,15,"Online",FALSE,0,0,142.72,0,FALSE
"INN00141",1,0,1,2,"Meal Plan 1",FALSE,"Room_Type 1",13,"2018",5,9,"Offline",FALSE,0,0,90,0,TRUE
"INN00142",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",245,"2018",6,17,"Online",FALSE,0,0,75,0,FALSE
"INN00143",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",11,"2018",11,18,"Online",FALSE,0,0,111,1,FALSE
"INN00144",2,0,2,2,"Meal Plan 1",FALSE,"Room_Type 1",266,"2018",10,30,"Online",FALSE,0,0,86.7,2,TRUE
"INN00145",2,0,1,0,"Meal Plan 1",FALSE,"Room_Type 1",39,"2018",3,28,"Online",FALSE,0,0,117.9,1,TRUE
"INN00146",1,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",13,"2018",6,1,"Complementary",TRUE,3,5,0,1,TRUE
"INN00147",2,0,0,4,"Not Selected",FALSE,"Room_Type 1",112,"2018",5,4,"Online",FALSE,0,0,101.58,1,TRUE
"INN00148",2,0,1,2,"Not Selected",FALSE,"Room_Type 1",88,"2018",4,8,"Online",FALSE,0,0,58.9,1,TRUE
"INN00149",2,0,0,1,"Meal Plan 1",FALSE,"Room_Type 1",56,"2018",6,8,"Offline",FALSE,0,0,120,0,TRUE
"INN00150",2,0,2,3,"Meal Plan 1",FALSE,"Room_Type 4",73,"2018",4,7,"Online",FALSE,0,0,107.1,0,FALSE
"INN00151",2,0,1,1,"Meal Plan 1",FALSE,"Room_Type 1",80,"2018",5,2,"Online",FALSE,0,0,126.9,1,TRUE
"INN00152",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 4",130,"2018",9,29,"Online",FALSE,0,0,139.5,2,FALSE
"INN00153",2,0,1,3,"Not Selected",FALSE,"Room_Type 1",69,"2018",4,4,"Online",FALSE,0,0,80.75,1,TRUE
"INN00154",2,0,0,2,"Meal Plan 2",FALSE,"Room_Type 1",273,"2017",7,17,"Online",FALSE,0,0,109,0,FALSE
"INN00155",2,0,0,1,"Meal Plan 2",FALSE,"Room_Type 1",55,"2018",4,6,"Offline",FALSE,0,0,104,0,TRUE
"INN00156",1,0,0,3,"Meal Plan 1",FALSE,"Room_Type 1",4,"2018",11,1,"Corporate",TRUE,1,5,65,1,TRUE
"INN00157",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 4",97,"2018",5,24,"Online",FALSE,0,0,140.4,0,TRUE
"INN00158",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 1",44,"2018",2,17,"Offline",FALSE,0,0,75,0,TRUE
"INN00159",2,0,0,1,"Not Selected",FALSE,"Room_Type 1",31,"2018",4,14,"Online",FALSE,0,0,94.5,0,FALSE
"INN00160",2,0,1,0,"Not Selected",FALSE,"Room_Type 1",0,"2018",6,5,"Online",FALSE,0,0,109,0,TRUE
"INN00161",2,0,2,2,"Meal Plan 1",FALSE,"Room_Type 1",62,"2018",11,12,"Online",FALSE,0,0,105,2,TRUE
"INN00162",2,0,2,2,"Meal Plan 1",FALSE,"Room_Type 4",86,"2018",4,17,"Online",FALSE,0,0,107.95,1,TRUE
"INN00163",3,0,2,2,"Meal Plan 1",FALSE,"Room_Type 7",3,"2018",10,7,"Online",FALSE,0,0,215.6,1,TRUE
"INN00164",2,0,1,1,"Not Selected",FALSE,"Room_Type 1",197,"2018",8,1,"Online",FALSE,0,0,85.5,1,TRUE
"INN00165",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",143,"2018",7,12,"Online",FALSE,0,0,105.3,2,TRUE
"INN00166",1,0,2,1,"Meal Plan 2",FALSE,"Room_Type 1",23,"2018",1,2,"Online",FALSE,0,0,1,0,TRUE
"INN00167",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 4",8,"2018",6,15,"Online",FALSE,0,0,156,0,FALSE
"INN00168",1,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",13,"2018",11,16,"Online",FALSE,0,0,73.15,1,TRUE
"INN00169",2,0,1,2,"Meal Plan 1",FALSE,"Room_Type 1",280,"2018",9,19,"Online",FALSE,0,0,110,0,FALSE
"INN00170",2,1,1,0,"Not Selected",FALSE,"Room_Type 1",11,"2017",9,13,"Online",FALSE,0,0,87.4,1,TRUE
"INN00171",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",317,"2018",9,15,"Online",FALSE,0,0,120,0,FALSE
"INN00172",2,0,1,2,"Not Selected",FALSE,"Room_Type 1",185,"2018",12,16,"Online",FALSE,0,0,79.2,0,FALSE
"INN00173",2,0,1,3,"Meal Plan 1",FALSE,"Room_Type 1",160,"2018",6,30,"Online",FALSE,0,0,90.95,1,TRUE
"INN00174",2,0,0,4,"Meal Plan 1",FALSE,"Room_Type 1",104,"2018",10,18,"Online",FALSE,0,0,91.48,1,TRUE
"INN00175",2,1,0,1,"Meal Plan 1",FALSE,"Room_Type 1",11,"2018",11,5,"Online",FALSE,0,0,150,1,FALSE
"INN00176",2,0,0,1,"Not Selected",FALSE,"Room_Type 1",2,"2018",3,22,"Online",FALSE,0,0,89,0,TRUE
"INN00177",2,0,1,4,"Not Selected",FALSE,"Room_Type 1",14,"2018",8,17,"Online",FALSE,0,0,91.43,1,TRUE
"INN00178",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 1",22,"2018",5,20,"Offline",FALSE,0,0,140,0,TRUE
"INN00179",1,1,2,5,"Not Selected",FALSE,"Room_Type 1",37,"2017",10,24,"Online",FALSE,0,0,87.78,0,TRUE
"INN00180",2,0,0,2,"Meal Plan 2",FALSE,"Room_Type 1",292,"2018",7,21,"Online",FALSE,0,0,115,0,FALSE
"INN00181",2,0,0,3,"Meal Plan 1",FALSE,"Room_Type 1",11,"2017",9,9,"Online",FALSE,0,0,80.85,1,TRUE
"INN00182",2,0,1,3,"Meal Plan 1",FALSE,"Room_Type 1",86,"2018",3,31,"Online",FALSE,0,0,82.45,1,TRUE
"INN00183",2,0,0,1,"Not Selected",FALSE,"Room_Type 1",109,"2018",10,11,"Online",FALSE,0,0,108,0,FALSE
"INN00184",2,0,1,1,"Meal Plan 1",FALSE,"Room_Type 4",72,"2018",4,2,"Online",FALSE,0,0,96.3,1,TRUE
"INN00185",2,0,1,5,"Meal Plan 1",FALSE,"Room_Type 1",196,"2018",8,22,"Online",FALSE,0,0,99.45,0,FALSE
"INN00186",2,0,0,2,"Meal Plan 1",FALSE,"Room_Type 4",56,"2018",5,13,"Online",FALSE,0,0,140.4,1,TRUE
"INN00187",2,0,1,3,"Meal Plan 1",FALSE,"Room_Type 1",189,"2018",8,8,"Offline",FALSE,0,0,72.25,0,TRUE
"INN00188",2,0,1,4,"Meal Plan 1",FALSE,"Room_Type 4",126,"2018",8,15,"Online",FALSE,0,0,126,0,TRUE
"INN00189",2,0,2,3,"Meal Plan 1",FALSE,"Room_Type 1",303,"2018",8,19,"Online",FALSE,0,0,78,0,FALSE
"INN00190",1,0,2,2,"Meal Plan 1",FALSE,"Room_Type 4",81,"2018",11,6,"Online",FALSE,0,0,146.6,1,TRUE
"INN00191",2,0,1,2,"Meal Plan 1",FALSE,"Room_Type 1",54,"2018",10,10,"Online",FALSE,0,0,118.8,0,FALSE
"INN00192",1,0,0,1,"Meal Plan 1",FALSE,"Room_Type 1",15,"2018",10,6,"Online",FALSE,0,0,145,0,FALSE
"INN00193",2,0,0,4,"Meal Plan 1",FALSE,"Room_Type 1",86,"2018",4,6,"Online",FALSE,0,0,84.58,0,FALSE
